廉颇,异变,鹰眼,隐匿,若廉颇是辅助位，则携带坦克铭文：宿命、虚空、调和；若走对抗路则携带百穿铭文：异变、鹰眼、隐匿。 廉颇团战要先手开团，利用一三技能的突进效果，可对敌方后排造成较大威胁。
小乔,梦魇,心眼,狩猎,狩猎提升10％移速加成，对于被动具有加速效果的小乔来说，适合放风筝，可以进行中远距离的输出，机动性高。心眼和梦魇提升法穿效果。对于小乔这种伤害比较高的英雄来说，增加法穿可以在对方出法抗时也打出高额伤害。
赵云,异变,鹰眼,隐匿,100的物穿使赵云在前期击杀脆皮上更加有效，在面对面前排时也有一定的击杀能力，45的物理攻击也是提高了前期的伤害量，而且在清野上也更加的快速，10%的移速加成是为了赵云在gank、支援、追击、逃跑时跑的更快。
墨子,梦魇,怜悯,狩猎,梦魇的法术攻击和穿透搭配墨子的高法强可以快速清线，消耗敌人。狩猎可使墨子更快的打出普攻的被动。而怜悯的10%冷却可让墨子的技能冷却更快
妲己,梦魇,怜悯,轮回,妲己是一个拥有超强爆发的法师英雄，231可以秒杀大多数脆皮英雄，红色梦魇可以提供法术强度和穿透，蓝色轮回可以提升法术强度和吸血赖线能力，绿色怜悯可以减少CD，在中后期几秒就可以释放一套231连招秒人。
嬴政,红月,心眼,狩猎,嬴政前期较其他法师类英雄普攻伤害很高，而且带有穿透效果，适合带攻速类铭文提高普攻输出，提高清兵速度，移速提高了嬴政的支援速度和自保能力。
孙尚香,祸源,鹰眼,隐匿,蓝色隐匿移速方便孙尚香更好的移动寻找输出位置，团战支援也比较迅速，物理攻击可以提伤害。绿色鹰眼，穿透护甲后孙尚香的攻击伤害会更高。前期在有祸源铭文的情况下，暴击更多，清野，清兵线的速度更快，发育更快。
鲁班七号,异变,鹰眼,隐匿,鲁班七号的核心玩法是利用1技能后的被动扫射在短时间内打出超额爆发，百穿的增益可以确保鲁班七号的有效伤害，攻速收益可以帮鲁班七号更容易叠被动，移速可以帮鲁班增加逃生能力。
庄周,梦魇,心眼,轮回,新版本的庄周不仅仅是一个只能辅助的坦克，其被动结合二技能叠起四层被动，可打出爆炸伤害。庄周佩戴输出铭文，提高法术攻击、法术吸血、法术穿透的能力，让庄周前期也能拥有很强的输出能力，为团队建立优势。
刘禅,宿命,虚空,调和,宿命增加刘禅的坦克能力；调和，配合1技能控制效果，可以黏住大多数核心输出；刘禅的技能有控制和拆塔的效果，虚空的冷却缩减可以起到加快拆塔速度的作用。
高渐离,梦魇,心眼,贪婪,高渐离是一名AOE输出爆炸的法师英雄，高额的法术收益和法穿可以帮助他打出更多的伤害，吸血恢复能力可以提升高渐离的赖线能力，打团时利用免伤和恢复可以有更好的生存能力，攻速加成可以更容易组合技能打出被动伤害。
阿轲,无双,鹰眼,狩猎,选择无双提升暴击效果，配合无尽大大提升阿轲的爆发能力，狩猎的移速配合位移大招，可以让阿轲更轻松接近对手完成刺杀，攻速可以让阿轲在背击时可以配合技能完成普攻，鹰眼的物穿效果可以为阿轲提供稳定的输出能力。
钟无艳,异变,鹰眼,调和,调和提高最大生命以及移速加成，提升回复能力；鹰眼和异变提高物理攻击和物理穿透，在一定程度上的提高了钟无艳的伤害，抗伤害的同时自身也可以打出伤害。
孙膑,梦魇,回声,狩猎,孙膑作为一个辅助，他需要高频率的释放技能来辅助队友。回声提供冷却缩减与双抗，增加续航能力。梦魇适当地增加伤害。狩猎增加移速可以提升机动性。
扁鹊,凶兆,心眼,狩猎,对扁鹊来说最重要的是攻速和冷却，冷却效果可以通过装备补充，选择标准的攻速铭文可以让扁鹊轻松普攻叠加被动到5层，达到最大收益，穿透效果可以帮助扁鹊在前期达到伤害最大化，移速可以增加扁鹊gank支援能力。
白起,宿命,虚空,调和,红色宿命可以增加攻速与物理防御，蓝色调和可以让白起更加灵活。绿色虚空可以增加白起的冷却缩减。同时三种铭文都可以增加血量，让白起扛得住伤害。
芈月,梦魇,怜悯,狩猎,红色梦魇提供了法术攻击和法术穿透的加成，可以在前期让芈月有非常高的伤害，芈月的持续伤害源于技能和被动，因此选择可以增加攻速的铭文狩猎。绿色选择怜悯，减少芈月技能冷却的时间。
吕布,红月,虚空,隐匿,吕布作为一名近战英雄，物理攻击及生存能力至关重要，移速的增加能提高吕布的支援速度，在战场上以更灵活的身姿作战，6%的冷却缩减可让吕布更频繁地使用技能去打出更多的伤害
周瑜,梦魇,献祭,贪婪,周瑜作为一名法师，符文主要补充法术穿透和法术吸血，高级符文补充一些冷却缩短
夏侯,宿命,鹰眼,调和,夏侯是一个典型的坦克英雄，红色宿命提供攻速和生命物理防御；蓝色铭文调和补充移速和生命回血，更加方便于支援游走；同时绿色鹰眼补足一些伤害。
甄姬,梦魇,怜悯,轮回,这套铭文提供法术强度、法术穿透、冷却减缩，以及法术吸血。法术穿透和法术强度增加甄姬的输出能力，法术吸血让甄姬有一定的续航能力，冷却减缩减少技能CD，让甄姬能更快得打出技能被动冰冻敌方并造成伤害。
曹操,宿命,鹰眼,狩猎,曹操作为一名战士，宿命提高突进时的生存能力，鹰眼保证在切入后排时能有足够的伤害击杀脆皮，狩猎提供的移动速度提高机动性。
典韦,传承,虚空,隐匿,典韦是后期英雄，输出更依赖于大招的真实伤害，传承可以让他造成更多真实伤害，隐匿移速提升配合1技能可以黏住敌方核心输出英雄，虚空提升一定的坦克能力。
宫本武藏,异变,鹰眼,隐匿,宫本的玩法是在poke时寻找时机切入并击败敌方的核心输出，宫本比较依赖普攻，同时技能后可以为普攻增加海量物理伤害加成，百穿铭文可以帮助宫本伤害收益最大化，让宫本可以更好的利用技能配合普攻产生高额伤害。
李白,异变,鹰眼,隐匿,这套铭文可以为李白提供物理攻击能力和百穿效果，能确保李白在初期就可以配合2技能减少抗性把大招伤害完美呈现，虽然解封大招是李白的关键玩法，但是李白最常用是野区累积解封或者1技能后平A组合技能解封。
马可波罗,红月,鹰眼,狩猎,马可波罗的攻击速度会影响技能子弹数量，需要优先搭配提升
狄仁杰,纷争,鹰眼,狩猎,纷争的物理吸血属性可以提高狄仁杰前期的续航能力，鹰眼可以大幅度提高狄仁杰在前期的物理输出，狩猎则可以额外强化狄仁杰的攻速和移速，配合被动的移速加成，可以让自身移动能力接近于一般刺客，增加生存能力。
达摩,异变,鹰眼,狩猎,这套铭文增加物理攻击、物理穿透、移速与攻击速度。物理攻击与穿透的加成增加技能和普攻的伤害，配合技能大幅度削弱敌人的护甲和防御效果，移速加成提高机动性，攻速加成让释放技能后能更快速打出被动的额外伤害。
项羽,宿命,虚空,调和,这是一套标准的肉坦铭文，调和提升他的抗肉和续航能力。宿命提供的攻击速度可以让他打出更多的普攻，虚空提供的冷却缩减大幅度降低技能CD。
武则天,梦魇,献祭,轮回,一定的冷却缩减可以保证技能持续输出，法强和法穿在前中期能保证一定的伤害量，法术吸血保证续航能力，在线上依赖被动回蓝，技能吸血来保证发育。
老夫子,红月,鹰眼,狩猎,这套铭文其中物理攻击和物理穿透可以提高老夫子的伤害，暴击率搭配老夫子的高攻击速度表现非常的不俗，移动速度加成提升老夫子支援和gank速度，攻击速度的加成让普攻速度更快，在触发被动效果后能够打出更高的伤害。
关羽,异变,鹰眼,隐匿,异变和鹰眼的百穿效果再加上异变和隐匿的36的物理攻击，能够让关羽的每一刀都特别痛。而隐匿的10%的移速能够让这匹马跑得更快，追杀或者逃跑都很方便。
貂蝉,梦魇,怜悯,轮回,法术攻击和穿透可以在初期保障伤害，应对敌方换血和快速清线，吸血提供的恢复能力可以增加貂蝉的赖线能力；貂蝉对冷却缩减的效果非常依赖，符文选择带10％冷却，在初期配合回血书就有一定的作战能力。
安琪拉,圣人,献祭,轮回,安琪拉是一个高爆发的法师英雄，操作简单，技能的法术强度收益超高是她的特色，三个铭文都可以为安琪拉提供法术强度收益是最好的选择，轮回的法术吸血也可以提升安琪拉的前中期续航能力。
程咬金,异变,均衡,隐匿,程咬金定位是战士和坦克，既有坦克承受伤害的能力又有输出能力；异变可以为程咬金提升一些攻击力和穿透能力，蓝色隐匿可以提供攻击力和移速，方便黏人输出，绿色均衡提升双抗可以让程咬金承受更多伤害。
露娜,凶兆,心眼,狩猎,露娜的技能需要配合普攻才能多次刷新大招，攻速加成可以提升露娜的攻击频率，移速加成可以提升支援gank的能力，法穿可以增加露娜的伤害能力，冷却可以减少技能CD。
姜子牙,梦魇,献祭,轮回,提升法术输出
刘邦,宿命,虚空,长生,宿命提供的属性可以让刘邦更好的为队友吸收伤害，攻速加成可以让刘邦打出更多的普攻配合被动技能打出更多伤害，技能冷却可以让刘邦有机会放出更多次技能。
韩信,纷争,鹰眼,兽痕,红色纷争，物理攻击可以让韩信足够的输出，提升清野效率和与敌方的对抗能力；绿色鹰眼，物理穿透进一步提高韩信的穿甲输出能力；蓝色兽痕，暴击率的加成可以在一定程度上使得韩信的输出最大化。
王昭君,圣人,怜悯,轮回,法术攻击的叠加，提高昭君带线能力，前期较有优势，达到四级时就可以带走敌方中单，或者边路支援打野抓人。CD的缩减主要针对后期，可以使昭君技能频繁使用，进行消耗。吸血效果可以很好的提升线上续航能力。
兰陵王,异变,鹰眼,隐匿,兰陵王是刺客，依赖技能短期高爆发，输出节奏为阶梯式；最大化收益属性就是破甲和物理伤害，移动；红色选择异变，提供破甲＋物理伤害；绿色鹰眼，提供破甲＋物理伤害；蓝色隐匿，提供高额物理输出＋机动性。
花木兰,异变,鹰眼,隐匿,花木兰的铭文根据玩法不同有很多变化，推荐百穿玩法，攻击力和穿透可以提升花木兰的普攻和技能伤害，移速提升可以帮助花木兰支援队友，对于新手来说可以选择这套铭文轻松打出有效伤害。
张良,梦魇,献祭,轮回,法功和法术穿透可以强化张良前期作战能力，法术吸血可以增强续航能力，张良的被动依赖对敌人持续的控制和伤害来触发，更短的冷却时间对此很有帮助
不知火舞,梦魇,怜悯,轮回,此铭文法术攻击加成能让火舞在前中期就打出一定的伤害量，同时火舞没有蓝条的限制，一定的吸血铭文可以在很大程度上减少其回家补给的次数，冷却缩减可以更好的消耗敌方，同时再配上其被动以达到最优输出或是撤离战场。
娜可露露,异变,鹰眼,隐匿,鹰眼和异变提供的攻击力及穿透可让娜可露露造成大量伤害，大招配合隐匿的移速使她更快的加入战局
橘右京,异变,鹰眼,隐匿,橘右京是一个依赖技能伤害的英雄，需要高额的穿透能力打足伤害，移速的提升可以帮助橘右京配合被动减速技能风筝敌方英雄，物理伤害的提升可以帮橘右京提升初期的清线能力。
亚瑟,宿命,虚空,调和,红色宿命增加血量，物理护甲以提高前期抗压能力。绿色虚空增加血量，降低技能CD使亚瑟的技能更加频繁。蓝色调和增加血量，增加移速，可以使亚瑟更加灵活。
孙悟空,无双,鹰眼,兽痕,孙悟空的被动是自带暴击率，无双与兽痕可以增加13％的暴击率，使得初始暴击率能达到33％。通过无双的弥补，使得初始暴击效果为186％，使得输出更高。鹰眼提供物理穿透可以增加孙悟空的穿透效果，增加伤害。
牛魔,宿命,均衡,长生,牛魔作为一个坦克、辅助位英雄，在团战中需要让自身拥有更高的血量及护甲魔抗才能为队友抵抗敌方的输出。
后羿,红月,鹰眼,隐匿,后羿是一个高爆发型的射手，非常依赖普攻效果，攻速，暴击，移速，对于后羿都是非常关键的属性
刘备,异变,鹰眼,夺萃,刘备是近战战士，距离敌人越近攻击伤害越高，高额的穿透和物攻可以帮刘备飞速清理野区，移速可以让刘备配合红BUFF黏住敌方英雄，在初期爆发超高的情况下，攻速效果明显，近战时多A一下可以造成更多伤害。
张飞,宿命,虚空,调和,张飞是坦克，蓝色调和提升最大生命、回血；绿色虚空提供的冷却缩减可以更好的释放技能；红色宿命为变身后输出作保障，最大生命、物理防御还能增加张飞的肉度。
李元芳,红月,鹰眼,隐匿,隐匿和红月提升物理攻击，鹰眼的物理穿透能够让李元芳技能伤害更高。隐匿的10%的移速可以帮李元芳在初期更好的gank，是追杀与逃生的利器。
虞姬,异变,鹰眼,狩猎,虞姬的伤害来源都来自于技能和被动，所以想在前期就能造成很高的伤害，物理攻击和物理穿透都是非常必要的；攻速和移速也是一个ADC非常关注的属性，所以这套铭文非常适合虞姬这类靠技能的ad英雄。
钟馗,梦魇,怜悯,轮回,这套铭文达到了10%的减CD以及较高的法术强度和法术穿透。保证了钟馗的输出能力，配合肉装和输出冷却符文，能够将技能的控制频率提到最高，这一点也保证了钟馗玩法的最大化收益。
成吉思汗,祸源,鹰眼,狩猎,成吉思汗最大的优势在草丛作战的全面性，无论是移速，视野提供都尤为出色，狩猎的移速和攻速可以提升机动性，穿透效果可以确保前中期的伤害足够，红色暴击是博伤害的玩法，前中期一旦出现暴击可以达到非常高的收益。
杨戬,异变,鹰眼,狩猎,这套铭文的属性伤害很高。物理穿透保证了他的伤害。10%的移速加成则使他在游走gank和团战支援时更加迅速。10%的攻速加成则是二技能普攻会带有真实伤害。
雅典娜,异变,鹰眼,狩猎,红色选择异变，绿色选择鹰眼，增加物理攻击力和物理穿透，可以最大程度增加雅典娜前期伤害，提高发育效率。蓝色选择狩猎，增加10%攻速和10%移速，提高攻速可以帮助雅典娜的连招打的更加流畅。
蔡文姬,圣人,均衡,长生,蔡文姬是一个辅助英雄，红色法术强度可以提升主动技能和被动技能的恢复能力，长生可以提升坦克强度，在初期中期很难被击杀，在前期可以多次触发被动创造丝血逃生的机会，均衡可以提升双抗让蔡文姬放心为队友恢复血量。
太乙真人,梦魇,献祭,调和,梦魇增加了太乙真人前期的输出能力，绿色献祭在增加了太乙真人的法术攻击外，还提供了冷却缩减；蓝色调和增加了太乙真人在前期的续航能力，同时增加gank能力。
哪吒,宿命,虚空,隐匿,宿命提供的攻速、生命、物防完美契合哪吒肉核冲锋的定位，虚空一方面提供了哪吒肉的属性，另一方面让其在战场中释放更多技能来帮助团队，隐匿能够让哪吒更灵活。
诸葛亮,梦魇,怜悯,轮回,诸葛亮作为强力法师，红色梦魇提升法术攻击、法术穿透，保证打出强力伤害。绿色怜悯提升技能冷却，保证可以多放技能、多打出被动，对敌人造成高额伤害。蓝色轮回提升法术吸血能力，在对战中保证生存能力以及续航能力。
黄忠,无双,鹰眼,兽痕,黄忠作为站桩输出，对移速没有需求，前期有1技能加速和2技能减速敌方需求也不大，因此主攻击和穿透，中后期无双的暴击效果配合无尽可以呈现出毁灭程度的攻击力。
大乔,梦魇,怜悯,轮回,大乔是辅助，四个技能两个控制伤害两个传送技能，大乔除了2技能外均有较高的法术伤害及可观的法术加成。大乔的四个技能cd都比较长，使用怜悯可以对冷却进行一定的缩减加成，梦魇和轮回是相对收益比较高的法术铭文。
东皇太一,宿命,虚空,调和,东皇太一的玩法是游走和大招以血还血，这套铭文可以在初期为东皇太一增加移速、生命值、恢复能力，可以提升初期游走和gank能力，中后期至少可以大到一个核心。
干将莫邪,梦魇,怜悯,轮回,干将莫邪拥有超远距离输出的能力，选择铭文以增加输出能力为主。这套铭文能提供66点法术攻击，24点法术穿透，10％法术吸血，10％冷却缩减。66点法术攻击和24点法术穿透为干将莫邪前期提供了一定的伤害基础。
鬼谷子,梦魇,献祭,狩猎,鬼谷子的技能有不俗的伤害，法术攻击和法术穿透可以保障初期gank时的伤害能力，狩猎可以增加鬼谷子支援效率和伤害，献祭减少技能冷却，让鬼谷子隐身频率更高。
铠,传承,鹰眼,隐匿,铠的一技能回复能力与物理加成有关，传承增加物理攻击力。鹰眼所提供的物理穿透提升后期伤害。隐匿不仅可以提高铠的物理攻击力，还可以增加铠的移速更好的追击敌人。
百里守约,异变,鹰眼,隐匿,物理攻击和物理穿透提升前期输出能力，移动速度保证游走逃脱能力
百里玄策,异变,鹰眼,隐匿,玄策应该优先选择穿透铭文搭配暗影战斧，针对后排进行突进输出
苏烈,异变,虚空,隐匿,因为苏烈整体的防御能力较强，所以符文推荐以攻击和移速为主，达到攻守平衡。
梦奇,梦魇,心眼,狩猎,因为梦奇自身具有不错的双抗加成，所以符文推荐生命值和法术攻击为主，更有效的提升生存能力并弥补输出
女娲,梦魇,献祭,轮回,放弃一些对前排的威胁，保持了持续作战的能力，但利用女娲大招的特性，依然可以对后排造成不小的威胁
明世隐,宿命,虚空,调和,提升生存
公孙离,传承,鹰眼,隐匿,阿离的被动，对于攻击速度的需求较低，优先物理攻击，移动速度依然是不可缺少的特殊属性；通过物理穿透可强化阿离的前期作战能力，使得阿离在前期也会有一定的威胁能力
杨玉环,圣人,献祭,轮回,在铭文选择上，更加偏向选择增加正面作战能力的属性：法术攻击与法术吸血，搭配冷却铭文可以有效的缩短技能空窗期
裴擒虎,异变,鹰眼,隐匿,裴擒虎前期选择物理穿透会让其在前期无视大部分英雄的自身护甲，移动速度和攻击速度会大幅优化裴擒虎的清野效率
弈星,梦魇,心眼,狩猎,铭文推荐梦魇、心眼、狩猎，以加强弈星的移动速度和法术伤害。也可以用部分贪婪取代狩猎，强化法术吸血效果。
狂铁,宿命,虚空,狩猎,铭文补充狂铁一定的最大生命值和攻速，冷却缩减，能够补充其前期对抗能力，线上更加灵活
米莱狄,梦魇,献祭,轮回,米莱狄属于推进型法师，不必太在意移动速度，主要还是补充线上的续航和战斗属性
元歌,祸源,鹰眼,兽痕,输出较为安全的元歌主要以暴击、暴击效果为主，争取打出爆发伤害压制对手
孙策,异变,鹰眼,隐匿,孙策需要出装推荐坦克装备，在铭文上就要补充一定的物理穿透，让孙策突进后不至于被人忽视。
司马懿,凶兆,心眼,贪婪,攻速在前中期十分重要，在能量不多的情况下，每次被动触发可以挥舞多少次镰刀直接关系到了能制造多少伤害。
盾山,宿命,虚空,调和,凭借盾山被动效果带来的减伤效果，铭文上选择最大生命会带来最高的收益
